'BABYFOOD,JUC,PRUNE&ORANGE';70
'BABYFOOD,JUC,MXD FRUIT';47
'BABYFOOD,CRL,BARLEY,DRY';365
'BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY';402
'BABYFOOD,CEREAL,MIXED,DRY';379
'BABYFOOD,CRL,MXD,W/BANANAS,DRY';391
'BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR';82
'BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR';83
'BABYFOOD,CRL,OATMEAL,DRY';399
'BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY';393
'BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR';74
'BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR';75
'BABYFOOD,CRL,OATMEAL,W/HONEY,DRY';391
'BABYFOOD,CEREAL,RICE,DRY';391
'BABYFOOD,CRL,RICE,W/APPLSAUC&BANANAS,STR';80
'BABYFOOD,CRL,W/EGG YOLKS,STR';51
'BABYFOOD,CRL,W/EGG YOLKS,JR';52
'BABYFOOD,CRL,W/EGGS,STR';58
'BABYFOOD,CRL,EGG YOLKS&BACON,JR';79
'BABYFOOD,OATMEAL CRL W/FRUIT,DRY,INST,TODD';402
'BABYFOOD,COOKIE,BABY,FRUIT';435
'BABYFOOD,CRACKERS,VEG';477
'BABYFOOD,CRL,RICE,W/MXD FRUIT,JR';82
'BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY';374
'BABYFOOD,CRL,RICE,W/BANANAS,DRY';404
'BABYFOOD,COOKIES';433
'BABYFOOD,COOKIES,ARROWROOT';442
'BABYFOOD,PRETZELS';397
'BABYFOOD,TEETHING BISCUITS';391
'ZWIEBACK';426
'BABYFOOD,DSSRT,DUTCH APPL,STR';75
'BABYFOOD,DSSRT,DUTCH APPL,JR';79
'BABYFOOD,CHERRY COBBLER,JR';78
'BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR';68
'BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR';69
'BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR';80
'BABYFOOD,DSSRT,PEACH COBBLER,STR';65
'BABYFOOD,DSSRT,PEACH COBBLER,JR';67
'BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR';81
'BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,STR';59
'BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR';63
'BABYFOOD,DSSRT,TROPICAL FRUIT,JR';60
'BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR';85
'BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR';86
'BABYFOOD,JUC,APPL&GRAPE';46
'BABYFOOD,JUC,FRUIT PUNCH,W/CA';52
'BABYFOOD,JUC,APPL&CHERRY';41
'BABYFOOD,JUC,APPL,W/CA';46
'BABYFOOD,DINNER,VEG&CHICK,JR';53
'BABYFOOD,DINNER,MXD VEG,STR';41
'BABYFOOD,DINNER,MXD VEG,JR';33
'BABYFOOD,FRUIT,BANANAS W/TAPIOCA,JR';67
'BABYFOOD,VEG,MIX VEG JR';36
'BABYFOOD,VEG,GARDEN VEG,STR';32
'BABYFOOD,VEG,MIX VEG STR';36
'BABYFOOD,DINNER,BF NOODLE,JR';57
'BABYFOOD,APPLS W/HAM,STR';62
'BABYFOOD,CARROTS&BF,STR';59
'BABYFOOD,PLUMS,BANANAS&RICE,STR';57
'BABYFOOD,DINNER,TURKEY,RICE,AND VEG,TODD';60
'BABYFOOD,DINNER,APPLS&CHICK,STR';65
'BABYFOOD,DINNER,BROCCOLI & CHICK,JR';62
'Babyfood, beverage, GERBER GRADUATE FRUIT SPLASHERS';31
'BABYFOOD,SNACK,GERBER GRADUATE YOGURT MELTS';429
'BABYFOOD,DINNER,SWT POTATOES&CHICK,STR';74
'BABYFOOD,DINNER,POTATOES W/CHS&HAM,TODD';78
'BABYFOOD,CRL,BARLEY,PREP W/WHL MILK';84
'BABYFOOD,CRL,HI PROT,PREP W/WHL MILK';111
'BABYFOOD,CRL,MXD,PREP W/WHL MILK';96
'BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK';86
'BABYFOOD,CRL,OATMEAL,PREP W/WHL MILK';116
'BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK';86
'BABYFOOD,CRL,OATMEAL,W/HONEY,PREP W/WHL MILK';115
